ChEBI	lin-wt	sun-wt	sun-wt	fish-wt	ref-wt	coc-wt	lin-wt	lin-wt	fish-wt	coc-wt	fish-wt	ref-wt	sun-wt	ref-wt	sun-wt	lin-wt	coc-wt	fish-wt	coc-wt	ref-ppar	coc-ppar	ref-ppar	sun-ppar	fish-ppar	sun-ppar	ref-ppar	ref-ppar	lin-ppar	fish-ppar	lin-ppar	coc-ppar	coc-ppar	ref-ppar	sun-ppar	fish-ppar	coc-ppar	lin-ppar	fish-ppar	lin-ppar	sun-ppar
CHEBI:28875	0.34	0.38	0.36	0.22	0.37	1.70	0.35	0.34	0.22	1.38	0.26	0.44	0.32	0.34	0.35	0.24	1.21	0.30	1.30	0.38	3.24	0.60	0.38	0.44	0.47	0.64	0.52	0.49	0.40	0.61	3.19	2.26	0.60	0.54	0.39	2.92	0.63	0.36	0.64	0.40
CHEBI:73705	1.1166	 0.6362	 0.4674	 3.8548	 0.4866	 0.5095	 0.7578	 0.2586	 0.8921	 2.1589	 0.9961	 0.7193	 8.6515	 7.218	0.24	1.21	0.30	1.30	0.38	3.24	0.60	0.38	0.44	0.47	0.64	0.52	0.49	0.40	0.61	3.19	2.26	0.60	0.54	0.39	2.92	0.63	0.36	0.2586	 0.8921	 2.1589
CHEBI:17268	26.00	2.00	23.70	5.88	24.80	26.04	65.94	28.63	25.34	28.49	25.73	24.28	24.63	26.04	4.76	26.96	3.95	0.72	27.00	4.09	2.99	1.85	17.64	42.73	64.65	0.49	18.44	17.72	21.70	16.25	22.99	0.27	2.22	20.18	20.71	0.79	11.09	15.23	16.20	0.70
CHEBI:15756	26.45	24.04	23.70	25.48	24.80	26.04	25.94	28.63	25.34	28.49	25.73	24.28	24.63	26.04	24.76	26.46	23.45	29.72	27.00	24.09	23.59	19.95	17.64	22.73	14.65	20.49	18.44	17.72	21.70	16.25	22.91	23.27	20.25	20.18	20.71	21.79	21.57	25.23	16.20	20.70
CHEBI:28842	10.22	 9.93	 8.96	 8.14	 9.63	 6.59	 9.68	 9.95	 8.81	 5.63	 8.30	 8.63	 9.99	 9.81	 9.38	10.97	 5.59	 8.95	 5.72	 8.22	 2.68	 3.18	 6.99	 4.71	 4.29	 2.71	 5.21	 6.02	 6.12	 4.55	 3.60	 1.68	 3.09	 4.51	 6.41	 3.56	 3.97	10.33	 5.77	 7.40
CHEBI:35465	0.35	0.55	0.55	0.49	0.46	0.66	0.36	0.29	0.44	0.90	0.43	0.53	0.45	0.35	0.54	0.31	0.67	0.45	0.81	0.60	1.11	1.21	0.74	0.75	0.66	1.09	0.87	0.58	0.78	0.61	0.99	1.50	1.18	0.71	0.71	1.23	0.82	0.45	0.67	0.63
CHEBI:28716	 3.10	 2.54	 2.65	 2.82	 2.85	 7.26	 3.60	 3.27	 2.36	 7.01	 2.74	 3.33	 2.39	 2.36	 2.47	 2.81	 6.31	 2.86	 7.86	 3.89	13.09	 4.89	 2.58	 2.27	 2.88	 4.05	 3.37	 3.77	 2.07	 5.42	13.90	10.38	 3.66	 3.55	 2.18	10.66	 5.14	 1.59	 4.10	 2.72
CHEBI:16196	16.98	20.07	22.89	21.92	21.38	28.23	17.62	17.02	18.39	36.68	21.75	23.86	17.93	20.14	19.66	14.69	33.84	17.79	33.50	24.61	35.61	35.91	21.23	25.10	23.15	38.32	32.04	21.04	22.49	21.43	33.55	41.23	36.59	24.82	24.09	38.27	25.53	16.49	25.12	19.97
CHEBI:36023	 2.41	 3.92	 3.96	 2.52	 2.96	 8.99	 2.15	 1.99	 1.81	 8.85	 2.64	 3.02	 3.49	 2.33	 4.02	 1.88	 8.56	 2.01	 9.88	 3.89	11.41	 4.58	 2.85	 1.91	 2.85	 5.07	 3.76	 1.77	 1.82	 2.22	10.64	15.03	 4.75	 3.77	 1.83	11.55	 3.18	 1.53	 2.11	 3.13
CHEBI:32425	0.26	0.23	0.26	0.00	0.30	0.36	0.25	0.31	0.00	0.21	0.00	0.26	0.27	0.26	0.22	0.31	0.47	0.00	0.00	0.27	0.37	0.30	0.26	0.38	0.45	0.26	0.42	0.65	0.44	0.25	0.30	0.20	0.36	0.39	0.40	0.38	0.33	0.37	0.21	0.40
